goal,count,pick count,win count,pick%,win%
4 Unused Keys in Gerudo Training Grounds,1,0,0,0.0,0.0
7 Compasses,8,0,0,0.0,0.0
5 Compasses,1,0,0,0.0,0.0
Clear 4 Silver Rupee Rooms,1,0,0,0.0,0.0
Get Bombchu chest in Spirit Temple,1,0,0,0.0,0.0
Desert Colossus HP,1,0,0,0.0,0.0
Free all 9 Gorons in Fire Temple,1,0,0,0.0,0.0
8 Different Unused Keys in Gerudo Training Grounds,1,0,0,0.0,0.0
7 Different Bottled Contents,1,0,0,0.0,0.0
Exactly 20 Deku Sticks,1,0,0,0.0,0.0
Defeat Nabooru-Knuckle,1,0,0,0.0,0.0
Double Magic,1,0,0,0.0,0.0
Defeat Queen Gohma,1,0,0,0.0,0.0
Din's Fire,4,0,0,0.0,0.0
Bronze Gauntlets,3,0,0,0.0,0.0
Beat the Shadow Temple,1,0,0,0.0,0.0
All 8 Kakariko area Skulltulas,3,0,0,0.0,0.0
Fire Arrows,2,0,0,0.0,0.0
6 Maps,2,0,0,0.0,0.0
Goron Tunic,2,0,0,0.0,0.0
Get to the end of Forest Trial,2,0,0,0.0,0.0
Goron Bracelet,2,0,0,0.0,0.0
3 Swords & 3 Boots,3,0,0,0.0,0.0
All 5 Lake Hylia Skulltulas,4,0,0,0.0,0.0
All 3 Skulltulas in Bottom of the Well,3,0,0,0.0,0.0
Bottled Fairy,3,0,0,0.0,0.0
Defeat Barinade,4,0,0,0.0,0.0
Epona's Song,2,0,0,0.0,0.0
Blue Gauntlets,4,0,0,0.0,0.0
Get to the end of Spirit Trial,3,0,0,0.0,0.0
Ice Arrows,3,0,0,0.0,0.0
Longshot,3,0,0,0.0,0.0
Map & Compass in Dodongo's Cavern,3,0,0,0.0,0.0
Map & Compass in Forest Temple,3,0,0,0.0,0.0
Exactly 30 Deku Sticks,3,0,0,0.0,0.0
Defeat Amy (Green Poe),3,0,0,0.0,0.0
Get to the end of Light Trial,3,0,0,0.0,0.0
Fairy Slingshot,2,0,0,0.0,0.0
All 8 Death Mountain area Skulltulas,2,0,0,0.0,0.0
All 4 Skulltulas in Deku Tree,1,0,0,0.0,0.0
Open 2 Boss Key Doors,1,0,0,0.0,0.0
Beat the Forest Temple,1,0,0,0.0,0.0
3 Songs,1,0,0,0.0,0.0
Map & Compass in Jabu-Jabu,1,0,0,0.0,0.0
Both Hyrule Field area Skulltulas,4,0,0,0.0,0.0
3 Swords & 3 Shields,1,0,0,0.0,0.0
All 4 Lon-Lon Ranch area Skulltulas,1,0,0,0.0,0.0
Map & Compass in Water Temple,1,0,0,0.0,0.0
Blue Fire,1,0,0,0.0,0.0
Blue Potion,1,0,0,0.0,0.0
Minuet of Forest,1,0,0,0.0,0.0
4 Compasses,2,0,0,0.0,0.0
Both HPs in Death Mountain Crater,2,0,0,0.0,0.0
All 4 Wasteland/ Colossus area Skulltulas,2,0,0,0.0,0.0
7 Songs,2,0,0,0.0,0.0
Beat the Deku Tree,2,0,0,0.0,0.0
Bullet Bag (40),2,0,0,0.0,0.0
All 4 Child Skulltulas in Zora's Domain Area,2,0,0,0.0,0.0
Water Temple Boss Key,2,0,0,0.0,0.0
Plant bean in Death Mountain Crater,2,0,0,0.0,0.0
Open 3 Boss Key Doors,2,0,0,0.0,0.0
Beat the Fire Temple,2,0,0,0.0,0.0
